station_name,latitude,longitude
Senja (BP13),1.38272547134454,103.7623442547194
Compassvale (SE1),1.394493044503743,103.9004924509439
Rumbia (SE2),1.391468495341322,103.9059735934099
Bakau (SE3),1.387994310547688,103.9054153001703
Kangkar (SE4),1.383959116889146,103.9022253704398
Ranggung (SE5),1.384233559182769,103.8971946678037
Cheng Lim (SW1),1.39627763344324,103.8937971817304
Farmway (SW2),1.397170195918215,103.8893048241955
Kupang (SW3),1.398212830313787,103.8812562222543
Thanggam (SW4),1.397318155819383,103.875635154729
Fernvale (SW5),1.391885892347656,103.87630862552
Layar (SW6),1.392079836599983,103.8800296005455
Tongkang (SW7),1.389347946589417,103.8858441501157
Renjong (SW8),1.386700589919044,103.8906213160796
Cove (PE1),1.399281988373422,103.9059619412137
Meridian (PE2),1.396912049877407,103.9089502244891
Coral Edge (PE3),1.393909228633142,103.9125808455146
Riviera (PE4),1.394519785402498,103.9161693811566
Kadaloor (PE5),1.399509106362594,103.9165749742334
Oasis (PE6),1.402286679711236,103.9127273524113
Damai (PE7),1.405234836369568,103.9086035425655
Sam Kee (PW1),1.409612685288038,103.9048315506079
Teck Lee (PW2),1.412770893746303,103.9065776227674
Punggol Point (PW3),1.416848520312058,103.9066507893127
Samudera (PW4),1.415901721603825,103.9021563171623
Nibong (PW5),1.411854477442394,103.9003394520542
Sumang (PW6),1.408452419430784,103.898558450395
Soo Teck (PW7),1.405323318604549,103.8972905220323
